baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FAT4	2371.62934187315	1.65751661243439	0.276694400529527	5.99042340308405	2.09295432070564e-09	4.69067997758147e-07
MAPK13	793.974956557828	5.93843793164211	0.991836608935834	5.98731472315143	2.13333738002424e-09	4.71189299587963e-07
BCAT1	4662.19418786433	-2.70568761694648	0.453010885314027	-5.9726768266747	2.3339195277609e-09	5.00970895817974e-07
ITGB4	2381.0291107198	6.87224915343727	1.1502753995632	5.97443808330327	2.30884601097681e-09	5.00970895817974e-07
ACCN1	41.3016296583047	8.87239748655909	1.49082173355407	5.951347023502	2.65944524293642e-09	5.62915909754876e-07
EPS8L2	4410.59725854752	3.74031694658346	0.631316611884515	5.92462937957296	3.1300249973599e-09	6.53446314517328e-07
MMP1	24285.3292837112	-9.17151627927336	1.54871619168098	-5.92201226314978	3.18025902032088e-09	6.54961452293112e-07
PDZK1IP1	131.025772810849	4.30898307239682	0.73124812364786	5.89264154402378	3.80070289184779e-09	7.7230282762347e-07
FAM83H	1451.32123647065	3.12649730232111	0.530904390649374	5.88900253489512	3.88533488431031e-09	7.79111889959067e-07
TTC9	129.265607503427	4.45770784512566	0.757437619127124	5.88524748779016	3.97458784910577e-09	7.86658685978857e-07
SPAG17	176.840267030888	6.98777153680358	1.19282063908652	5.85819133893838	4.67935340125451e-09	9.14273664552804e-07
BEND5	59.1294007350733	8.4241640476862	1.43964500271498	5.85155648218787	4.86993841259339e-09	9.39466600100295e-07
FMOD	490.423435109062	5.21604177271089	0.89363455275804	5.83688461531901	5.31859007128532e-09	1.00068287267146e-06
ST3GAL5	1062.46241993485	3.61601285406962	0.619374072416796	5.83817278621294	5.27764098874625e-09	1.00068287267146e-06
CADM3	1987.74447874118	7.6809162812431	1.32476071895147	5.79796499953776	6.71244563704104e-09	1.24753257937202e-06
LOC283392	182.996973533793	-5.42594226836707	0.940472288459646	-5.76938027302639	7.9563581560818e-09	1.4609023891408e-06
S100A1	2823.79154121962	7.19953267090518	1.25455137913463	5.73873082493546	9.53886887017529e-09	1.73062335216037e-06
CDH1	50.916158880075	8.20893428413918	1.43761897604669	5.71009037924147	1.12916193528618e-08	2.02452092867781e-06
CHI3L1	505.879834635009	9.57757068345193	1.67792736410079	5.70797692937358	1.14326912052384e-08	2.02597923218411e-06
SSX1	381.276159149885	8.65437245528874	1.51912994470103	5.69692703739832	1.21986100110124e-08	2.13685996054977e-06
LRRC32	142.56910168304	6.36397928949758	1.12107627908631	5.6766692938007	1.37342626247897e-08	2.37852457274767e-06
DOK7	180.950175575012	7.2367560482326	1.275912732209	5.6718268150703	1.41282765288219e-08	2.39311507946231e-06
VASH1	771.00401286077	2.03973018722739	0.359628205604423	5.67177478140024	1.41325693669034e-08	2.39311507946231e-06
TNFRSF10C	303.333480748148	4.25575586357839	0.752412642659169	5.65614613882316	1.54809667208565e-08	2.59263662445993e-06
NRCAM	3880.97454582091	-4.48368264466499	0.795771037496845	-5.63438782437815	1.75681268468048e-08	2.91019840375332e-06
RIPK2	1271.14486320037	-2.12798254263239	0.378936529316278	-5.6156701135991	1.95801910864644e-08	3.20862486191094e-06
PIK3IP1	552.648003929959	2.22696614253988	0.39702785200626	5.60909299256106	2.03389721064386e-08	3.29750994576727e-06
COL9A2	684.730042007939	5.85059150533953	1.04398341968883	5.60410385356824	2.09335171367469e-08	3.32797290817767e-06
PSAT1	5966.5047269176	-3.35277265592881	0.598297538011094	-5.60385501012482	2.09636088704105e-08	3.32797290817767e-06
AGR2	238.007908446119	10.4365576257288	1.86358511801946	5.60025808578053	2.14032906386838e-08	3.36274380756229e-06
PTPRQ	292.740081601598	6.59211252658303	1.17753850826337	5.59821396949901	2.16571354958405e-08	3.36790556078173e-06
LPAR3	182.328168320963	-8.47834220674703	1.51511234488274	-5.59585052249256	2.19542797457116e-08	3.37962851843076e-06
GALNT6	1204.1553277642	-4.53901189227212	0.812799000905774	-5.58442110191313	2.34479934397631e-08	3.57347420021989e-06
REPS2	176.615415852674	4.11594313825257	0.737814043517811	5.57856437460614	2.42511727208167e-08	3.65928586401234e-06
KDM5D	494.830478790008	8.79947487804078	1.58145650443948	5.56415864321201	2.63420224478959e-08	3.89759633112556e-06
NKAIN4	339.55793892706	6.36281195606233	1.14335038288858	5.5650586655573	2.62064230317794e-08	3.89759633112556e-06
PALM	813.335191248504	5.89466388579251	1.06054023777408	5.55817089803639	2.72616394646724e-08	3.9948787061693e-06
CCNA1	421.940629536065	5.83292716271459	1.05569553287395	5.52519829920609	3.29113675485769e-08	4.75202101337777e-06
CHDH	113.757251032175	6.49636630943042	1.1759301716356	5.52444904138709	3.30521146599766e-08	4.75202101337777e-06
EIF1AY	248.344897936046	11.4605782440022	2.07659358426079	5.51893174035874	3.41066634813011e-08	4.85780889210308e-06
C4A	2128.16625459416	5.9456839951752	1.08042800921792	5.50308206048735	3.73208599375847e-08	5.26638801341474e-06
RAPGEF3	2801.46464939883	4.00380944477375	0.728035825248109	5.49946761673339	3.80939657781412e-08	5.32616549044837e-06
