baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CAPS	297.597782068505	3.19417639400606	0.58347819267065	5.47437150887497	4.39067083555572e-08	5.97444852980975e-06
CAV2	8200.52489670281	2.04570380585531	0.669905186528658	3.0537214026597	0.00226021872259213	0.0437326715603082
CCL28	193.31779983983	3.31609829821145	1.0464716197352	3.16883729637173	0.00153050046617114	0.0327136425027324
CCL3	32.4871638847805	-8.43652467048082	1.85418123931153	-4.55000001704978	5.36459112459936e-06	0.000362666675427508
CCNA1	421.940629536065	5.83292716271459	1.05569553287395	5.52519829920609	3.29113675485769e-08	4.75202101337777e-06
CD36	21.1067430235918	4.67354776004675	1.49726032220698	3.12139959279618	0.00179993615960158	0.0368201705668833
CD4	59.59015252177	4.2911084514808	0.836079516756696	5.13241667267102	2.86045378760881e-07	3.06995181149002e-05
CDC42BPG	91.9045249743489	2.9301522292462	0.780064099386087	3.75629673452764	0.000172446211276247	0.00634929755945385
CDH11	3835.7817817486	5.0185658398619	0.990206134813129	5.06820313813649	4.01588696405013e-07	4.0531203531208e-05
CDH16	148.359731246675	5.15980123519777	1.4304666999351	3.60707539394791	0.000309667703555415	0.00971056749420683
CDH1	50.916158880075	8.20893428413918	1.43761897604669	5.71009037924147	1.12916193528618e-08	2.02452092867781e-06
CDKL2	102.407467161658	4.88269241880426	1.13332259290877	4.30829884567323	1.64515002357445e-05	0.00091503964814871
CDON	862.840720540102	2.96326436963408	0.879226668931953	3.37030765142022	0.000750843044640214	0.0191672495817703
CDS1	223.070014292243	3.22074884823435	1.00095087416392	3.21768923067736	0.00129227751429851	0.0291335936655462
CELSR2	3469.87081276974	2.95288048484435	0.616291372799472	4.79137079500406	1.65645676546264e-06	0.000133568259818257
CFB	1856.47681984225	2.82734013679979	0.797067029407522	3.54717988887512	0.000389378622313538	0.0115675052710689
CFH	14585.5797832391	2.12008021223067	0.669964886558534	3.16446466787397	0.00155368525042139	0.0330239375403375
CFI	311.452646756435	5.7194122179795	1.34687519972957	4.24643071542772	2.17202904022593e-05	0.00116146394993134
CHAC1	489.610401394178	-3.14002139324343	0.759234904937844	-4.13577059329286	3.53765473148664e-05	0.00171155105104306
CHDH	113.757251032175	6.49636630943042	1.1759301716356	5.52444904138709	3.30521146599766e-08	4.75202101337777e-06
CHI3L1	505.879834635009	9.57757068345193	1.67792736410079	5.70797692937358	1.14326912052384e-08	2.02597923218411e-06
CIB2	189.490214744103	2.32100971436968	0.549563529960786	4.22336925184117	2.40677018118695e-05	0.00125613621785236
CILP	312.635832806573	8.12271703957821	1.53538094614529	5.29035941208662	1.22076228059617e-07	1.46491473671541e-05
CLCNKB	12.4559946272101	6.15940856272306	1.92287741815577	3.20322476335	0.00135897872515277	0.0302789996656846
CLDN16	989.281214436096	4.76903815925891	1.2856510019498	3.70943448262885	0.000207722699943446	0.00726076593380301
CLIC3	196.183919395812	5.45990597026229	0.780485346718309	6.99552655692955	2.64264518248388e-12	1.18452684061924e-09
CLIC5	38.4455359289804	7.80273361709983	1.9268633157442	4.04944842394607	5.13384902779602e-05	0.00233551818458541
CMPK2	465.85817635624	-2.69215389440067	0.733135942826068	-3.67210736391269	0.000240558573458899	0.00811086871573811
CNKSR1	32.9769232502901	2.99179069626683	0.952313635097583	3.1416022894183	0.00168026104415938	0.0350303396894513
CNTN4	293.150723546247	7.83546217034282	1.57029244134437	4.9898107919533	6.04384618383169e-07	5.82846299656718e-05
CNTN6	220.971121454261	9.39798511261866	1.27452810096537	7.37369784589317	1.65959095479354e-13	9.72775621194366e-11
CNTNAP2	84.4906589524473	4.30830162882841	1.38397172212587	3.11299830766092	0.00185197079699291	0.0374821181224064
COBL	16.969535241185	6.61458915341914	1.92056481457403	3.44408535615406	0.000572994777397476	0.0154283399426458
COL14A1	728.81034913717	6.93861877581709	1.02250261486403	6.78591787928067	1.15350753916051e-11	4.2876719260503e-09
COL21A1	303.4355506519	6.01163106794076	1.35678954011184	4.43077639546456	9.38944129805211e-06	0.000572380341529257
COL3A1	2876.9919703098	6.95369246188577	1.04295858284899	6.66727574444117	2.60595208375633e-11	8.8254910569881e-09
COL6A3	12184.9171020974	-4.77829257398502	1.26620700895765	-3.77370567386018	0.00016084050276816	0.00596401280337409
COL8A2	536.701424728221	5.56023057495163	1.24764271227863	4.45658882966321	8.32741039042564e-06	0.000513804592510473
COL9A2	684.730042007939	5.85059150533953	1.04398341968883	5.60410385356824	2.09335171367469e-08	3.32797290817767e-06
CPAMD8	207.600673440914	6.9854325510249	1.41527711306827	4.93573483703183	7.98495347801926e-07	7.20063260384695e-05
CPNE7	662.078519294279	-2.40215420878929	0.79725026716831	-3.01304911106685	0.00258637058688645	0.0480100946944573
CRABP2	651.96166277948	4.59202361932248	1.06817002143031	4.298963205477	1.71598954739459e-05	0.000940707938931422
CRB2	52.5969777225298	5.13156283982434	1.66488973768698	3.0822238396121	0.00205460274464336	0.0405597743890735
CRYAB	1012.5386597526	5.04844016449246	1.03188602340842	4.8924397171472	9.95936260475222e-07	8.67318206265279e-05
CSPG4	1125.81275632712	4.31123980499142	1.05600323166314	4.08260095776553	4.45344549930006e-05	0.00208832336644101
CST2	41.737811132154	6.31017718281927	1.95057441772416	3.2350353441945	0.00121627673767243	0.0280405603606372
CST6	146.095862466535	7.32965040309293	1.47670366788215	4.96352149893751	6.92263743821903e-07	6.39399967020957e-05
CXADR	584.882745651792	3.25286740298437	1.01262907363108	3.21229904185967	0.0013167723423635	0.0294678568246986
CXCL16	383.547775730243	2.89542599988988	0.832732163361302	3.47701953555218	0.000507020873724665	0.0138725280351237
CXCL1	13833.3894247557	-3.32656890171102	1.02943454904463	-3.23145255305281	0.00123162769612872	0.02826808145934
CXCL2	1117.20160661393	-2.98291590374425	0.778865317490491	-3.8298224824739	0.000128235732580587	0.00494762674564086
CXCL6	2055.83914761673	-8.61803512443998	2.50097931470983	-3.44586421557024	0.000569236306858431	0.015354267816854
CYGB	251.58979336272	4.05209168962813	0.891036620357901	4.54761521249321	5.42572191584461e-06	0.000362666675427508
CYorf15A	56.7970407138418	8.36650501760983	2.34564945146491	3.56681814172393	0.000361342058729747	0.0109698266435087
CYorf15B	45.060145985	8.03034081240914	2.07717986768911	3.86598240110184	0.000110642916734016	0.00437973519747119
D4S234E	33.2119701062447	4.66323697969092	1.03639043780917	4.49949826780394	6.8114034839904e-06	0.000439855038542431
DAAM2	338.521491359559	7.20312156982236	0.763100975602859	9.43927710763547	3.75360021422485e-21	8.17212389496954e-18
DAPK1	510.277019510348	6.82873207317414	1.00892955230606	6.76829423577303	1.3030954365623e-11	4.72837486981179e-09
DARC	130.61727205813	8.12439040031387	1.71392472261579	4.7402259230583	2.13480046884533e-06	0.000165149031193923
DBC1	468.480739165541	7.58222628528856	0.832148664168369	9.11162465527247	8.11573955902314e-20	1.37426523199459e-16
DBP	771.594240161647	2.60632347993741	0.623101587907184	4.18282272187957	2.87911896295351e-05	0.00145290639057654
DCN	96.4318025938182	4.97064005621827	0.974678030266439	5.09977644090273	3.40054884113645e-07	3.62408142230206e-05
DDR1	4557.72684885602	2.62399231857	0.581621761639655	4.51150987056036	6.43677873953151e-06	0.000417813279632925
DDX3Y	1000.1818347463	10.2675295543701	1.57283412601758	6.52804347548554	6.66343576739301e-11	1.99119139402097e-08
DDX58	1991.25908068871	-3.21361408626889	0.826053545175	-3.89032176550745	0.000100111386537227	0.00403623685404059
DEPDC6	1394.41228505924	4.59174575036888	0.647465842149422	7.09187334906417	1.32308574344774e-12	6.30119585316987e-10
DGKI	821.188919965687	3.1743191036863	0.803369078538189	3.95125875327725	7.77412142924704e-05	0.00325487941158585
DHDPSL	81.1614077365062	4.67010928751282	1.42061030721583	3.28739645474308	0.00101118367552658	0.0242859112877201
DHRS3	2073.76417259259	-4.2506714562635	0.87832613630953	-4.83951379851178	1.30157154856455e-06	0.000107804078261542
DKK1	11147.1378108863	-5.68223214025598	1.35569355119626	-4.19138391212526	2.77258042986925e-05	0.00140847085837358
DMBT1	71.6728292183161	-4.7234038035906	1.46026412988077	-3.23462290618361	0.00121803483981246	0.0280405603606372
DMRT3	28.8977528689478	8.35673338593277	1.86749594973644	4.47483347265742	7.64708896572538e-06	0.000483575252438402
DNALI1	35.7516933745583	5.24467385753466	1.51774711326371	3.45556503563804	0.000549140696401341	0.0148648387445052
DNER	627.724365805026	-6.36609336305627	1.04931064197576	-6.06692918988171	1.30379004112868e-09	3.10465003543766e-07
DOCK10	1134.76768429067	-2.15619337725878	0.610959636161748	-3.5291912094303	0.000416831839884018	0.0121884986046924
DOK7	180.950175575012	7.2367560482326	1.275912732209	5.6718268150703	1.41282765288219e-08	2.39311507946231e-06
DPF3	447.583316772163	-2.44373639622898	0.665276862297978	-3.67326226826514	0.000239473470071867	0.00809218555187416
DSC2	443.667136904059	3.7274923448535	0.74149745812037	5.02697926207645	4.98266212608127e-07	4.93089420788821e-05
DSCR6	14.9403299799224	6.42845151699798	1.68268132859963	3.82036182831356	0.000133256040616373	0.00511542080351015
DTX4	200.832759853391	3.29837801400933	0.797982160499433	4.13339818517368	3.57438677058763e-05	0.00172384982227074
DYSF	970.043726177984	4.14551638843687	1.08166542820691	3.8325310954136	0.000126831561729551	0.00493090051213866
EAF2	66.9474496846317	-2.35872332452255	0.632741814903454	-3.7277816464247	0.000193172628960688	0.00689449851372571
EBI3	78.0204767961809	5.01396346382193	1.07616805030562	4.65908968622328	3.17610809143816e-06	0.000229402309542738
EFNA1	192.464214242979	4.35989778365583	1.25243796424982	3.4811287330046	0.000499305452633711	0.0137602443004299
EFNB3	447.45092183838	4.02024520101885	0.854561116032758	4.70445603666425	2.54543707566387e-06	0.00019015912271136
EFR3B	577.163440796815	-5.71074131808843	1.25946031508055	-4.53427650693637	5.7801268007629e-06	0.000384668700627191
EIF1AY	248.344897936046	11.4605782440022	2.07659358426079	5.51893174035874	3.41066634813011e-08	4.85780889210308e-06
EIF3CL	12.7186335736779	-7.0848734292011	1.95630005550718	-3.62156787209431	0.000292822957086893	0.00929712888750886
ELF3	141.266835475819	5.10448311646856	1.33474296286465	3.82431918240889	0.000131133943125326	0.00504666993239892
EMP1	21329.1104948663	-3.03815360268011	0.798840719173282	-3.80320322907962	0.000142837082386006	0.00544209283890684
ENO3	360.576670423632	2.73097639076072	0.737956184238779	3.70072973042132	0.000214980353018884	0.00745944569029962
ENPP5	238.263967581412	5.28837653515786	1.27644222026929	4.14305986685569	3.42702437727868e-05	0.00166862145398489
EPS8L2	4410.59725854752	3.74031694658346	0.631316611884515	5.92462937957296	3.1300249973599e-09	6.53446314517328e-07
EREG	319.657638610792	-4.87070311292857	1.37195021670133	-3.55020397506808	0.000384932776697372	0.0115026970918979
ESM1	33320.0437335586	-13.9972080283076	2.57452379671559	-5.43681439113683	5.4241589654589e-08	7.18818979422554e-06
ESPNL	22.3332498262619	6.19038579519067	2.03020096039645	3.04914927928211	0.00229490416516435	0.0441251079486994
ESRP2	62.0560412413886	3.91921056326106	1.10044886653416	3.56146540057289	0.000368790713212271	0.0111736987462326
ESRRG	169.503006215624	2.10104397349767	0.578847976404127	3.62969909051009	0.000283751806675954	0.00906578099316886
F2R	5022.14083197625	2.5113198870826	0.617368365018606	4.06778194248246	4.7462764286127e-05	0.0021787124328933
FAAH	112.181792425009	3.08504669486157	0.805362180666297	3.83063268790351	0.000127814185927248	0.00494387866378493
FAM101A	64.123242660723	4.72572489158404	1.16881414769237	4.04317906393774	5.27313178733963e-05	0.00237959537970857
FAM107A	42.2158314985669	3.6962002628794	1.23230805211035	2.99941257102847	0.0027050074458968	0.0494967709473821
FAM110B	279.4521290055	2.71106263340408	0.895378164650696	3.02784090615134	0.0024630772221478	0.0463996252973207
FAM110C	94.2119857746232	7.64975401030417	1.66605452405746	4.59153881211173	4.39989796225258e-06	0.000306184680112919
FAM124A	386.960844544654	4.54953455129586	1.26551549253444	3.59500502217047	0.000324385319217446	0.0100890454385181
FAM163A	170.63883725836	8.50974793070574	1.65056324653872	5.15566304323746	2.52735020670586e-07	2.75120122501409e-05
FAM180A	160.579113636288	-6.19821054341453	1.44578671775562	-4.28708499482993	1.81033039847221e-05	0.000985336974025589
FAM189A2	36.068754294619	3.51061354268492	1.00173954189218	3.50451728805048	0.000457435866705465	0.0129921409540857
FAM196B	251.701681195831	-5.62537758750314	0.906954821921604	-6.20248930986927	5.55769611323603e-10	1.46033256492616e-07
FAM38B	236.144045912497	6.29289015720113	2.07640359038783	3.03066811593489	0.00244013301515107	0.0461514571542106
FAM46B	201.271909286294	2.61278343064881	0.691720226760654	3.77722571867611	0.000158584997804287	0.00592168168496465
FAM65B	60.0423438255469	4.5632918556357	1.34423266343095	3.39471877136849	0.000686991287072978	0.0177754621646726
FAM7A2	20.7411109835518	4.14238959599601	1.26614581362102	3.27165287870699	0.00106920763747455	0.0255003511660596
FAM83H	1451.32123647065	3.12649730232111	0.530904390649374	5.88900253489512	3.88533488431031e-09	7.79111889959067e-07
FAM84B	904.731577789216	2.12861403949356	0.572968318108578	3.7150641182401	0.000203152174903057	0.00716675728130227
FAP	240.264657726382	-2.21248961985653	0.592371241386707	-3.73497135795657	0.000187736552781214	0.00674788930279647
FAT2	492.548269989635	6.31638739084871	0.85107403923717	7.42166615317062	1.15656042319026e-13	7.34415868725812e-11
FAT3	172.453670937015	6.30008469989228	0.844563483323599	7.45957506367626	8.68019667542142e-14	5.75157379710532e-11
FCGBP	465.555670265216	5.21975164842282	0.784527940659826	6.6533661554906	2.8646432820677e-11	9.28875821674717e-09
FGF12	211.488296548595	-2.64916945734602	0.631076314140245	-4.19785911463838	2.69450166162186e-05	0.00139200696010567
FGF9	22.4641907100148	4.53704056386852	1.32879743053069	3.41439594901725	0.000639236045060169	0.0167675685485662
FLG	1262.77578469167	4.84859583408912	1.46195135254508	3.31652337517819	0.000911449624527885	0.0223319811540273
FLI1	258.564899706759	-6.40244060428558	1.5729661113784	-4.07029786463426	4.69530655502869e-05	0.00216182694557816
FLJ16779	281.842404575217	6.35007730661164	1.2041706657846	5.27340308732245	1.33916984978262e-07	1.55793500081582e-05
FLJ45983	55.8750438965108	-9.21993831519609	2.76469354720361	-3.3348861845906	0.000853343183759313	0.0211462603585235
FLVCR2	280.157923045353	3.60185193948628	0.684914847494171	5.25883174041855	1.44973462269967e-07	1.66119967292804e-05
FMN2	758.145460352115	-5.77961948449866	1.65663599888127	-3.48876849736554	0.0004852512093375	0.0134703614395328
FMOD	490.423435109062	5.21604177271089	0.89363455275804	5.83688461531901	5.31859007128532e-09	1.00068287267146e-06
FNDC1	2895.50378187352	6.31400664456348	1.23908984118709	5.09568106741515	3.47489711478444e-07	3.65465212767631e-05
FOLR1	41.6365661335907	5.99362160777346	1.52765386590521	3.92341599202641	8.73022162662952e-05	0.00358621502937558
FOXE1	3660.07218747021	4.66294822373986	0.993728045534134	4.69237860871029	2.70046773072561e-06	0.000199782175807079
FOXF1	388.577395866869	-11.0551939470029	2.13372976923325	-5.18115935129666	2.2051100384808e-07	2.41768899183075e-05
FOXG1	402.159140956299	-11.1049965272865	1.65049483140842	-6.7282831281636	1.71676630248891e-11	5.94625419316613e-09
FOXL1	1722.28234321798	-4.687050293177	1.30774242386951	-3.58407757340194	0.000338271547137988	0.0104357457052286
FRY	195.856067375541	3.12519573716299	1.0086635985935	3.09835285175435	0.00194599581484561	0.0387672891741792
FUCA1	2479.16280665433	2.41370141251391	0.549622154884422	4.39156498889947	1.125376865852e-05	0.00066474509449741
GALNT12	354.070270942688	-2.67679397541227	0.757148847495078	-3.53536029839849	0.000407219503660955	0.0119576594138592
GALNT6	1204.1553277642	-4.53901189227212	0.812799000905774	-5.58442110191313	2.34479934397631e-08	3.57347420021989e-06
GALNT9	46.5165381942405	7.22323940600451	1.96164590118568	3.68223408803727	0.00023119896893505	0.00786489349680839
GATA2	75.5184089387014	-4.20544647466249	1.1950028906889	-3.51919355796548	0.000432860777979065	0.0125176437502864
GATA3	1228.19229519694	-2.92244534784641	0.791918444344974	-3.69033625711758	0.00022395781204185	0.00765272882403093
GBGT1	179.4639809113	3.17373868046242	0.766327508660739	4.14149126136547	3.4505502162139e-05	0.00167472564634076
GCNT2	1085.58977242594	-4.35315460061842	1.36969160210821	-3.17820054815121	0.00148192208839977	0.0318540093472673
GDF1	39.6540900446728	3.49249897217942	0.982141194293572	3.55600497410301	0.000376536950743646	0.0113407571725952
GDF6	364.298829085752	4.9769976517661	1.62175631681749	3.06889364336369	0.00214853065955322	0.042032871953262
GFRA2	151.165427953603	9.78117932874754	1.63041096910749	5.9992109437916	1.98278644852832e-09	4.51009932471217e-07
GNA15	109.586457780984	4.28124773597717	1.37412682945793	3.11561323467211	0.00183562856998208	0.0372007704874027
GNAO1	100.431539004797	5.05085180395651	1.4483064461178	3.4874192664787	0.000487706143701986	0.0135072769259892
GNG11	4986.9237012809	-2.7158678448771	0.7382937076986	-3.67857373909222	0.000234541883094517	0.00796084253532391
GPC4	1156.8175300696	7.74520498343926	1.08676699225662	7.12683126983522	1.02705865779511e-12	5.21745798159918e-10
GPR116	775.032370719714	7.86130388801257	1.23949422275243	6.3423481479048	2.26289218418133e-10	6.27026852489517e-08
GPR133	51.9697127319475	7.2972525407567	1.93349170869165	3.7741317989383	0.000160565861538674	0.00596401280337409
GPR183	25.3288940469056	6.302195792405	1.66147925630923	3.79312336791045	0.000148764200039034	0.00560314541834476
GPR56	7659.33668060894	4.80922158402185	0.72223964641931	6.65876154523615	2.76144532662296e-11	9.14878842994216e-09
GPR87	17.5137957368668	4.77676946781589	1.46546244842424	3.25956456472303	0.00111583379970415	0.0264468228732368
GPRC5C	3730.2368667423	6.02009709918971	1.18174268595733	5.09425374129801	3.50117592283951e-07	3.65465212767631e-05
GPRIN2	31.3358960953177	7.50594766828968	1.8852859896844	3.98133106030571	6.85304207436468e-05	0.00292550031409854
GPX3	3120.00245892465	3.94679427063946	0.753805303975792	5.23582714239724	1.64247619507603e-07	1.85417312688583e-05
GRAMD1B	733.404346953667	-4.60880115206264	0.977739540053133	-4.71373097155525	2.43221740974501e-06	0.00018349996695304
